NIVEL_ACADEMICO,ESC_PRIVADA_O_PUBLICA
Primaria,Pública
Secundaria,Pública
Primaria,Pública
Primaria,Pública
Primaria,Pública
Secundaria,Pública
Preescolar,Pública
Primaria,Privada
Primaria,Pública
Primaria,Pública
Preescolar,Pública
Preescolar,Pública
Primaria,Pública
Primaria,Pública
Preescolar,Pública
Primaria,Pública
Primaria,Pública
Preparatoria o bachillerato,Pública
Licenciatura o profesional,Privada
Primaria,Pública
Primaria,Pública
Secundaria,Pública
Primaria,Privada
Primaria,Pública
Primaria,Pública
Primaria,Pública
Preparatoria o bachillerato,Pública
Secundaria,Pública
Preparatoria o bachillerato,Pública
Preescolar,Pública
Primaria,Pública
Secundaria,Pública
Preparatoria o bachillerato,Pública
Primaria,Pública
Secundaria,Pública
Secundaria,Privada
Secundaria,Privada
Preescolar,Pública
Primaria,Pública
Secundaria,Pública
Preparatoria o bachillerato,Pública
Preescolar,Pública
Secundaria,Pública
Licenciatura o profesional,Pública
Licenciatura o profesional,Pública
Secundaria,Privada
Secundaria,Privada
Primaria,Pública
Preparatoria o bachillerato,Pública
Licenciatura o profesional,Pública
Preescolar,Pública
Primaria,Pública
Secundaria,Privada
Licenciatura o profesional,Pública
Preparatoria o bachillerato,Pública
Preparatoria o bachillerato,Pública
Licenciatura o profesional,Pública
Licenciatura o profesional,Privada
Primaria,Pública
Licenciatura o profesional,Pública
Primaria,Pública
Secundaria,Pública
Licenciatura o profesional,Pública
Preparatoria o bachillerato,Pública
Preparatoria o bachillerato,Pública
Preescolar,Pública
Primaria,Pública
Primaria,Pública
Secundaria,Pública
Preparatoria o bachillerato,Pública
Primaria,Pública
Primaria,Pública
Secundaria,Pública
Preparatoria o bachillerato,Pública
Preparatoria o bachillerato,Pública
Primaria,Pública
Secundaria,Pública
Preparatoria o bachillerato,Pública
Preescolar,Pública
Primaria,Pública
Licenciatura o profesional,Pública
Licenciatura o profesional,Pública
Secundaria,Pública
Licenciatura o profesional,Privada
Licenciatura o profesional,Pública
Preescolar,Pública
Primaria,Pública
Primaria,Pública
Primaria,Pública
Preparatoria o bachillerato,Pública
Primaria,Pública
Preparatoria o bachillerato,Pública
Licenciatura o profesional,Pública
Primaria,Pública
Secundaria,Pública
Preparatoria o bachillerato,Pública
Preparatoria o bachillerato,Pública
Secundaria,Pública
Secundaria,Pública
Licenciatura o profesional,Pública
Secundaria,Privada
Primaria,Pública
Primaria,Pública
Secundaria,Pública
Preparatoria o bachillerato,Pública
Secundaria,Pública
Preparatoria o bachillerato,Pública
Preparatoria o bachillerato,Pública
Preparatoria o bachillerato,Pública
Preescolar,Pública
Preparatoria o bachillerato,Privada
Preparatoria o bachillerato,Pública
Preparatoria o bachillerato,Pública
Secundaria,Pública
Preparatoria o bachillerato,Pública
Licenciatura o profesional,Privada
Secundaria,Pública
Preparatoria o bachillerato,Pública
Licenciatura o profesional,Privada
Preescolar,Pública
Primaria,Pública
Preparatoria o bachillerato,Pública
Preescolar,Pública
Primaria,Pública
Primaria,Pública
Licenciatura o profesional,Privada
Licenciatura o profesional,Privada
Preescolar,Pública
Primaria,Pública
Preparatoria o bachillerato,Pública
Preparatoria o bachillerato,Pública
Licenciatura o profesional,Pública
Secundaria,Pública
Preparatoria o bachillerato,Pública
Preescolar,Pública
Primaria,Pública
Secundaria,Pública
Licenciatura o profesional,Pública
Primaria,Pública
Primaria,Pública
Primaria,Pública
Preparatoria o bachillerato,Pública
Secundaria,Pública
Primaria,Privada
Maestria,Pública
Secundaria,Pública
Preparatoria o bachillerato,Pública
Primaria,Pública
Secundaria,Pública
Primaria,Pública
Licenciatura o profesional,Privada
Licenciatura o profesional,Pública
Licenciatura o profesional,Pública
Secundaria,Pública
Preparatoria o bachillerato,Pública
Licenciatura o profesional,Pública
Licenciatura o profesional,Pública
Primaria,Pública
Primaria,Pública
Licenciatura o profesional,Pública
Primaria,Pública
Primaria,Pública
Preparatoria o bachillerato,Pública
Licenciatura o profesional,Pública
Primaria,Pública
Primaria,Pública
Preparatoria o bachillerato,Privada
Preescolar,Pública
Primaria,Pública
Primaria,Pública
Primaria,Pública
Licenciatura o profesional,Pública
Licenciatura o profesional,Pública
Preescolar,Pública
Primaria,Pública
Secundaria,Pública
Preparatoria o bachillerato,Pública
Preparatoria o bachillerato,Pública
Licenciatura o profesional,Pública
Secundaria,Pública
Primaria,Pública
Secundaria,Pública
Primaria,Pública
Secundaria,Pública
Secundaria,Pública
Primaria,Pública
Preparatoria o bachillerato,Privada
Preparatoria o bachillerato,Pública
Secundaria,Pública
Secundaria,Pública
Primaria,Pública
Preparatoria o bachillerato,Pública
Preescolar,Pública
Primaria,Pública
Secundaria,Pública
Secundaria,Pública
Preparatoria o bachillerato,Pública
Preescolar,Pública
Preparatoria o bachillerato,Privada
Primaria,Pública
Preparatoria o bachillerato,Pública
Secundaria,Privada
Preescolar,Pública
Primaria,Pública
Secundaria,Pública
Preparatoria o bachillerato,Pública
Preescolar,Pública
Preescolar,Pública
Primaria,Pública
Primaria,Pública
Primaria,Pública
Secundaria,Pública
Preescolar,Pública
